Utility,Year,Measurement (service lines),size,Match,PWSID,MatchType
Wrightstown Municipal Utilities Authority - Drinking Water,2021,0,Small,Wrightstown,NJ0340001,manual
Blairstown Township Water Department,2021,21,Small,Township of Blairstown DPW,NJ2104001,manual
Camden City Water Department - NJ American Water,2021,14453,Large,City of Camden,NJ0408001,manual
Madison Water Department,2021,18,Large,,,none
"Mount Olive Township - Drinking Water, Flanders",2021,0,Medium,,,none
NJ American Water - Mount Olive - West Jersey,2021,22,Small,,,none
NJ American Water - Passaic Basin,2021,25288,Large,NEW JERSEY AMERICAN WATER COMPANY - PASSAIC BASIN,NJ0712001,lookup
Passaic Valley Water Commission - Postbrook,2021,7,Small,,,none
Rahway Water Department - Veolia,2021,6231,Large,SUEZ Water NJ - Rahway,NJ2013001,manual
Spring Lake Heights Borough - Drinking Water,2021,12,Medium,Boro of Spring Lake Heights WD,NJ1349001,manual
Veolia Bayonne Operations ,2021,3634,Large,City of Bayonne,NJ0901001,manual
Veolia Water Manalapan - Millhurst,2021,25,Small,SUEZ Water Manalapan Milhurst,NJ1326005,manual
Veolia Water Manalapan - Tracey Station,2021,261,Small,Manalapan Twp WD - Tracy Station,NJ1326007,manual
Veolia Water New Jersey - Bald Eagle Village (formerly West Milford),2021,0,Small,,,none
Wayne Township - Drinking Water,2021,462,Large,Township of Wayne,NJ1614001,manual
