Utility,Year,Measurement (service lines),size,Match,PWSID,MatchType
Aberdeen - Cliffwood/Cliffwood Beach,2022,0,Medium,Aberdeen - Cliffwood-Cliffwood Beach,NJ1330002,manual
Aberdeen - Freneau,2022,0,Small,Aberdeen - Freneau,NJ1330004,join
Aberdeen - High School/Oakshade Area,2022,0,Small,Aberdeen - High School/ Oak Shade Area,NJ1330003,manual
Allamuchy Township - Drinking Water,2022,0,Small,Allamuchy Twp Water and Sewer,NJ2101001,manual
Allendale Water Department - Veolia,2022,32,Medium,Allendale WD,NJ0201001,manual
Allentown Boro - Drinking Water,2022,17,Small,Allentown WD,NJ1302001,manual
Alpha Municipal Water Works Department,2022,8,Small,Alpha Municipal Water Works,NJ2102001,manual
Veolia Water New Jersey - Andover,2022,0,Small,Andover,NJ1902004,manual
Andover Boro Water Department,2022,9,Small,Andover Boro WD,NJ1901001,manual
Aqua NJ - Bear Brook,2022,0,Small,Aqua NJ - Bear Brook,NJ1907002,join
Aqua NJ - Blackwood,2022,18,Large,Aqua NJ - Blackwood,NJ0415002,join
Aqua NJ - Brainards,2022,4,Small,Aqua NJ - Brainards Mutual Water Ass.,NJ2110001,manual
Aqua NJ - Bunnvale,2022,3,Small,Aqua NJ - Bunnvale,NJ1019001,join
Aqua NJ - Byram,2022,0,Small,Aqua NJ - Byram,NJ1904009,join
Aqua NJ - Califon,2022,31,Small,Aqua NJ - Califon,NJ1004001,join
Aqua NJ - California Village,2022,0,Small,Aqua NJ - California Village,NJ0326001,join
Aqua NJ - Cliffside Park,2022,0,Small,Aqua NJ - Cliffside Park,NJ1438001,join
Aqua NJ - Eastern Division,2022,0,Medium,Aqua NJ - Eastern Division,NJ1505002,join
Aqua NJ - Fox Hill,2022,0,Small,Aqua NJ - Fox Hill,NJ1015004,join
Aqua NJ - Hamilton Square,2022,15,Large,Aqua NJ - Hamilton Square,NJ1103001,join
Aqua NJ - Hanover Mobile Village,2022,0,Small,Aqua NJ - Hanover Mobile Village,NJ0326004,join
Aqua NJ - Harkers Hollow,2022,0,Small,Aqua NJ - Harkers Hollow,NJ2110003,join
Aqua NJ - Lawrence,2022,40,Medium,Aqua NJ - Lawrence,NJ1107002,join
Aqua NJ - Phillipsburg,2022,931,Large,Aqua NJ - Phillipsburg,NJ2119001,join
Aqua NJ - Riegel Ridge,2022,18,Small,Aqua NJ - Riegel Ridge,NJ1015003,join
Aqua NJ - Riegelsville,2022,4,Small,Aqua NJ - Riegelsville,NJ2120001,join
Aqua NJ - Seaview Harbor,2022,0,Small,Aqua NJ - Seaview Harbor,NJ0108005,join
Aqua NJ - Spartan Village,2022,0,Small,Aqua NJ - Spartan Village,NJ0326008,join
Aqua NJ - Summit Lake,2022,1,Small,Aqua NJ - Summit Lake,NJ1911004,join
Aqua NJ - Tranquility Springs,2022,0,Small,Aqua NJ - Tranquillity Springs,NJ1908001,manual
Aqua NJ - Vernon,2022,4,Small,Aqua NJ - Vernon,NJ1922008,join
Aqua NJ - Wallkill,2022,0,Small,Aqua NJ - Wallkill,NJ1911001,join
Aqua NJ - Warren Glen,2022,14,Small,Aqua NJ - Warren Glen,NJ2120002,join
Aqua NJ - Woolwich,2022,0,Small,Aqua NJ - Woolwich,NJ0824001,join
Veolia Water New Jersey - Arlington Hills,2022,0,Small,Arlington Hills,NJ1426004,manual
Atlantic City Municipal Utilities Authority (ACMUA),2022,442,Large,Atlantic City MUA,NJ0102001,manual
NJ American Water - Atlantic County,2022,617,Large,Atlantic County,NJ0119002,manual
Atlantic Highlands Water Department,2022,0,Medium,Atlantic Highlands WD,NJ1304001,manual
Avalon Water Utility (Middlesex Water Company subsidiary),2022,0,Small,Avalon Water and Sewage Utility,NJ0501001,manual
Avon by the Sea Water Department,2022,309,Small,Avon by the Sea WD,NJ1305001,manual
Veolia Water New Jersey - Awosting,2022,22,Small,Awosting,NJ1615012,manual
Veolia Water New Jersey - Bald Eagle Village,2022,0,Small,Bald Eagle Village,NJ1615018,manual
Barnegat Light Water Department,2022,0,Small,Barnegat Light WD,NJ1501001,manual
Barnegat Township Water Utility,2022,0,Large,Barnegat Twp Water and Sewer,NJ1533001,manual
Veolia Water New Jersey - Barry Lakes,2022,2,Small,Barry Lakes,NJ1922001,manual
Beach Haven Borough Water Department,2022,522,Small,Beach Haven WD,NJ1503001,manual
Beachwood Water Department,2022,0,Large,Beachwood WD,NJ1504001,manual
Bellmawr Water Department,2022,1,Medium,Bellmawr WD,NJ0404001,manual
Belleville Department of Public Works,2022,5149,Large,Bellville WD,NJ0701001,manual
Belmar Water Department,2022,569,Medium,Belmar WD,NJ1306001,manual
NJ American Water - Belvidere,2022,14,Small,Belvidere,NJ2103001,manual
Berkeley Township Municipal Utilities Authority,2022,0,Medium,Berkeley Twp MUA,NJ1505004,manual
Berlin Water Department,2022,26,Large,Berlin WD,NJ0405001,manual
Bloomfield Department of Public Works,2022,203,Large,Bloomfield WD,NJ0702001,manual
Bloomingdale Water Department,2022,0,Medium,Bloomingdale WD,NJ1601001,manual
Boonton Township Water Department,2022,0,Small,Boonton Twp WD,NJ1401002,manual
Boonton Water Department,2022,31,Medium,Boonton WD,NJ1401001,manual
Bordentown Water Department,2022,256,Large,Bordentown WD,NJ0303001,manual
Branchville Water Department,2022,1,Small,Branchville WD,NJ1903001,manual
Brick Township Municipal Utilities Authority,2022,0,Large,Brick Twp MUA,NJ1506001,manual
NJ American Water - Bridgeport,2022,3,Small,Bridgeport,NJ0809001,manual
Bridgeton City Water Department,2022,50,Large,Bridgeton City  WD,NJ0601001,manual
Brielle Water Department,2022,0,Medium,Brielle WD,NJ1308001,manual
Brigantine Water Department,2022,4937,Medium,Brigantine WD,NJ0103001,manual
Brooklawn Water Department,2022,0,Small,Brooklawn WD,NJ0407001,manual
Buena Borough Municipal Utilities Authority - Drinking Water,2022,0,Medium,Buena,NJ0104003,manual
Burlington City - Drinking Water,2022,30,Medium,Burlington,NJ0305001,manual
Burlington Township - Drinking Water,2022,3,Large,Burlington Twp WD,NJ0306001,manual
Butler Water Department,2022,0,Medium,Butler,NJ1403001,manual
Caldwell - Drinking Water,2022,0,Medium,Caldwell,NJ0703001,manual
Cape May Point Boro Water Department,2022,1,Small,Cape May Point Boro WD,NJ0503001,manual
Cape May Water Utility,2022,107,Medium,Cape May Water & Sewer Utility,NJ0502001,manual
Cedar Glen Lakes Water Company,2022,0,Small,Cedar Glen Lakes WC,NJ1518002,manual
Cedar Glen West Water Company,2022,0,Small,Cedar Glen West WC,NJ1518003,manual
Cedar Grove - Drinking Water,2022,0,Large,Cedar Grove WD,NJ0704001,manual
Chatham Borough - Drinking Water,2022,0,Medium,Chatham,NJ1404001,manual
Clayton Water Department,2022,619,Medium,Clayton,NJ0801001,manual
Clementon Water Department,2022,116,Medium,Clementon,NJ0411001,manual
Veolia Water New Jersey - Cliffwood Lakes,2022,0,Small,Cliffwood Lakes,NJ1922004,manual
Clinton - Drinking Water,2022,8,Medium,Clinton,NJ1005001,manual
NJ American Water - Coastal North,2022,3534,Large,Coastal North,NJ1345001,manual
Colby Water Company,2022,0,Small,Colby,NJ1904007,manual
Collingswood Water Department,2022,488,Large,Collingswood,NJ0412001,manual
Veolia Water Toms River - Colts Neck,2022,0,Small,Colts Neck,NJ1309002,manual
Veolia Water New Jersey - Crescent Park,2022,0,Small,Crescent Park,NJ1615014,manual
NJ American Water - Crossroads at Oldwick,2022,0,Small,Crossroads at Oldwick,NJ1024001,manual
Culver Lake Water Company,2022,0,Small,Culver Lake Water Company,NJ1905002,join
Veolia Water New Jersey - David Curtis,2022,0,Small,David Curtis,NJ1922013,manual
